Vattentemperatur,E. coli,E. coli prefix,Intestinala enterokocker prefix,Intestinala enterokocker,Län,Kommun,Badplats,Eu-bad,Latitud,Longitud,Badplatstyp,Datum,Vädertyp,Kvalitet,Algblomning
20,10,<,<,10,Kronoberg,Alvesta,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920764000001582""  target = ""_blank"">Bohult</a>",N,"56,5832493357086","14,4475036165245",Sjö,2015-07-21 00:00:00,Viss molnighet,Tjänligt,Ingen blomning
"21,3",10,<,<,10,Kronoberg,Alvesta,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920764000001582""  target = ""_blank"">Bohult</a>",N,"56,5832493357086","14,4475036165245",Sjö,2015-06-30 00:00:00,Klart,Tjänligt,Ingen blomning
"17,1",10,<,<,10,Kronoberg,Alvesta,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920764000001582""  target = ""_blank"">Bohult</a>",N,"56,5832493357086","14,4475036165245",Sjö,2015-06-09 00:00:00,Viss molnighet,Tjänligt,Ingen blomning
19,10,<,<,10,Kronoberg,Alvesta,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920764000001583""  target = ""_blank"">Övden</a>",N,"56,6208703462453","14,5052895109005",Sjö,2015-07-21 00:00:00,Viss molnighet,Tjänligt,Ingen blomning
"18,7",10,<,<,10,Kronoberg,Alvesta,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920764000001583""  target = ""_blank"">Övden</a>",N,"56,6208703462453","14,5052895109005",Sjö,2015-06-30 00:00:00,Klart,Tjänligt,Ingen blomning
"17,4",10,<,<,10,Kronoberg,Alvesta,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920764000001583""  target = ""_blank"">Övden</a>",N,"56,6208703462453","14,5052895109005",Sjö,2015-06-09 00:00:00,Viss molnighet,Tjänligt,Ingen blomning
20,20,<,<,10,Kronoberg,Alvesta,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920764000001584""  target = ""_blank"">Ulvö</a>",N,"56,5938911179052","14,6470334589189",Sjö,2015-07-21 00:00:00,Viss molnighet,Tjänligt,Ingen blomning
"19,5",10,<,<,10,Kronoberg,Alvesta,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920764000001584""  target = ""_blank"">Ulvö</a>",N,"56,5938911179052","14,6470334589189",Sjö,2015-06-30 00:00:00,Klart,Tjänligt,Ingen blomning
"17,5",10,<,<,10,Kronoberg,Alvesta,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920764000001584""  target = ""_blank"">Ulvö</a>",N,"56,5938911179052","14,6470334589189",Sjö,2015-06-09 00:00:00,Viss molnighet,Tjänligt,Ingen blomning
19,10,<,<,10,Kronoberg,Alvesta,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0920764000001585""  target = ""_blank"">Hulevik</a>",N,"56,624957329762","14,6175691930269",Sjö,2015-07-21 00:00:00,Viss molnighet,Tjänligt,Ingen blomning
